author_display,title_display
"Klamath National Forest (Agency : U.S.), author.",Klamath National Forest forest plan consistency checklist : all forestwide and management areas standards and guidelines : Klamath National Forest Craggy vegetation management project
United States. Congress. Senate. Committee on Finance.,"Hearings before the Committee on Finance, United States, Senate, Sixty-Seventh Congress, first session, on the proposed Tariff Act of 1921 (H.R. 7456)."
United States. Army Materiel Command.,"Financial Administration : U.S. Army Materiel Command Installations Division, Army stock fund"
"United States. Congress. House. Committee on Rules, author.","Providing for consideration of the bill (H.R. 38) to amend title 18, United States Code, to provide a means by which nonresidents of a State whose residents may carry concealed firearms may also do so in the State : report (to accompany H. Res. 645)."
"",Low-temperature thermal energy storage program annual operating plan FY...
United States. Army Materiel Command.,Safety : safety manual
"United States. Congress. Senate. Committee on Indian Affairs, author.",Klamath Tribe Judgment Fund Repeal Act : report (to accompany S. 1223) (including cost estimate of the Congressional Budget Office).
"United States. Congress. House. Committee on Natural Resources, author.",To direct the Secretary of Agriculture to transfer certain federal land to facilitate scientific research supporting federal space and defense programs : report together with additional views (to accompany H.R. 1800) (including cost estimate of the Congressional Budget Office).
United States. Army Materiel Command.,Safety : AMC safety manual
"United States, enacting jurisdiction.","An Act to Restrict the Inclusion of Social Security Account Numbers on Federal Documents Sent by Mail, and for Other Purposes"
"United States, enacting jurisdiction.",An Act to Amend the Financial Stability Act of 2010 to Modify the Term of the Independent Member of the Financial Stability Oversight Council
United States. Army Materiel Command.,Civilian personnel : U.S. Army Materiel Command personnel management information system (AMC PMIS).
"United States, enacting jurisdiction.","Joint Resolution Providing for Congressional Disapproval under Chapter 8 of Title 5, United States Code, of the Rule Submitted by Bureau of Consumer Financial Protection Relating to ""Arbitration Agreements."""
United States. Army Materiel Command.,"Product assurance, depot quality assurance system"
"Howe, George F. (George Frederick), 1901-1988,",Northwest Africa: seizing the initiative in the West
"Salmon River Ranger District (Calif.), author.","Botanical resources and non-native invasive species report, Craggy vegetation management project"
"United States, enacting jurisdiction.",An Act to Require the Administrator of the Federal Emergency Management Agency to Submit a Report Regarding Certain Plans Regarding Assistance to Applicants and Grantees during the Response to an Emergency or Disaster
"United States, enacting jurisdiction.",Asia-Pacific Economic Cooperation Business Travel Cards Act of 2017
"",Qualification and certification of AMC NDT personnel : quality assurance
"United States. Congress. Senate. Committee on Appropriations. Subcommittee on Agriculture, Rural Development, Food and Drug Administration, and Related Agencies, author.","Agriculture, Rural Development, Food and Drug Administration, and related agencies appropriations for fiscal year 2015 : hearings before a subcommittee of the Committee on Appropriations, United States Senate, One Hundred Thirteenth Congress, second session on H.R. 4800/S. 2389, an act making appropriations for Agriculture, Rural Development, Food and Drug Administration, and related agencies programs for the fiscal year ending September 30, 2015, and for other purposes"
"McKenzie, Brian,","Modes less traveled : bicycling and walking to work in the United States, 2008-2012"
"United States. Congress. Senate. Committee on Appropriations. Subcommittee on Agriculture, Rural Development, Food and Drug Administration, and Related Agencies, author.","Agriculture, Rural Development, Food and Drug Administration, and related agencies appropriations for fiscal year 2017 : hearings before a subcommittee of the Committee on Appropriations, United States Senate, One Hundred Fourteenth Congress, second session on H.R. 5054/S. 2956, an act making appropriations for Agriculture, Rural Development, Food and Drug Administration, and related agencies programs for the fiscal year ending September 30, 2017, and for other purposes"
United States. Army Materiel Command.,Storage and supply activities : physical inventory
United States. Advisory Commission on Intergovernmental Relations.,Intergovernmental responsibilities for mass transportation facilities and services in metropolitan areas
United States. Army Materiel Command.,Storage and Supply Activities : shipping general supplies
"",The Army Management Structure : AMC supplement 1 to AR 37-100-85.
"",Design and evaluation of a nondestructive fissile assay device for HTGR fuel samples
United States. Department of the Army.,Manpower and equipment control. Manpower management
"",Ductility minimum and its reversal with aging in cobalt-base superalloys
"","Terminal market storage tests on California lemons, 1952"
"",Assessment of ARRA green and energy retrofits in HUD-subsidized housing
